Dia,Hora,Fator Emissão
1,13,0.2599
1,14,0.242
1,15,0.2276
1,16,0.2174
1,17,0.2121
1,18,0.2099
1,19,0.2013
2,13,0.2657
2,14,0.25
2,15,0.234
2,16,0.227
2,17,0.215
2,18,0.2131
2,19,0.2075
3,13,0.1894
3,14,0.1773
3,15,0.1637
3,16,0.1453
3,17,0.1372
3,18,0.1427
3,19,0.1563
4,13,0.1641
4,14,0.1539
4,15,0.1588
4,16,0.1966
4,17,0.2501
4,18,0.2794
4,19,0.2947
5,13,0.1874
5,14,0.1853
5,15,0.2136
5,16,0.2269
5,17,0.2332
5,18,0.2377
5,19,0.234
8,13,0.1959
8,14,0.1797
8,15,0.1653
8,16,0.1535
8,17,0.1443
8,18,0.1368
8,19,0.1328
9,13,0.1819
9,14,0.1769
9,15,0.1616
9,16,0.1509
9,17,0.1412
9,18,0.1385
9,19,0.1333
10,13,0.1893
10,14,0.1804
10,15,0.1688
10,16,0.1634
10,17,0.1595
10,18,0.2238
10,19,0.3096
11,13,0.1775
11,14,0.1681
11,15,0.1577
11,16,0.1519
11,17,0.1431
11,18,0.1397
11,19,0.1383
12,13,0.1987
12,14,0.1897
12,15,0.1737
12,16,0.1564
12,17,0.1498
12,18,0.156
12,19,0.1499
15,13,0.1371
15,14,0.1366
15,15,0.1273
15,16,0.1177
15,17,0.1107
15,18,0.1073
15,19,0.1048
16,13,0.1409
16,14,0.1315
16,15,0.1257
16,16,0.1176
16,17,0.1098
16,18,0.1048
16,19,0.1014
17,13,0.1558
17,14,0.1439
17,15,0.1317
17,16,0.1241
17,17,0.1204
17,18,0.1159
17,19,0.1087
18,13,0.1683
18,14,0.1518
18,15,0.1418
18,16,0.1467
18,17,0.1494
18,18,0.1532
18,19,0.1583
19,13,0.2549
19,14,0.2356
19,15,0.2177
19,16,0.2045
19,17,0.1838
19,18,0.1715
19,19,0.1641
22,13,0.2548
22,14,0.2332
22,15,0.2096
22,16,0.1925
22,17,0.1754
22,18,0.1681
22,19,0.163
23,13,0.2253
23,14,0.2067
23,15,0.1873
23,16,0.1761
23,17,0.1633
23,18,0.1626
23,19,0.1664
24,13,0.22
24,14,0.1998
24,15,0.1844
24,16,0.171
24,17,0.1574
24,18,0.153
24,19,0.144
25,13,0.2381
25,14,0.2207
25,15,0.2012
25,16,0.1806
25,17,0.1571
25,18,0.1487
25,19,0.1475
26,13,0.196
26,14,0.1792
26,15,0.1677
26,16,0.1602
26,17,0.1527
26,18,0.142
26,19,0.1413
29,13,0.235
29,14,0.2121
29,15,0.1915
29,16,0.1782
29,17,0.1651
29,18,0.156
29,19,0.1557
30,13,0.2086
30,14,0.186
30,15,0.1669
30,16,0.155
30,17,0.1485
30,18,0.149
30,19,0.1515
