Dia,Hora,Fator Emissão
3,13,0.4508
3,14,0.4106
3,15,0.3557
3,16,0.3135
3,17,0.2734
3,18,0.2448
3,19,0.2344
4,13,0.4192
4,14,0.3812
4,15,0.3383
4,16,0.3027
4,17,0.268
4,18,0.2478
4,19,0.2393
5,13,0.4522
5,14,0.4195
5,15,0.3751
5,16,0.3323
5,17,0.287
5,18,0.2662
5,19,0.2654
6,13,0.4564
6,14,0.4159
6,15,0.3716
6,16,0.3225
6,17,0.2807
6,18,0.2614
6,19,0.2562
7,13,0.4548
7,14,0.4028
7,15,0.3554
7,16,0.3187
7,17,0.2828
7,18,0.2562
7,19,0.2467
10,13,0.4819
10,14,0.4415
10,15,0.3872
10,16,0.3391
10,17,0.292
10,18,0.263
10,19,0.2566
11,13,0.4632
11,14,0.4234
11,15,0.3735
11,16,0.3288
11,17,0.2839
11,18,0.2594
11,19,0.2512
12,13,0.4772
12,14,0.4371
12,15,0.3883
12,16,0.3415
12,17,0.2906
12,18,0.2642
12,19,0.2501
13,13,0.5223
13,14,0.4749
13,15,0.4124
13,16,0.365
13,17,0.3113
13,18,0.2829
13,19,0.272
14,13,0.4688
14,14,0.4183
14,15,0.3725
14,16,0.3321
14,17,0.2878
14,18,0.2571
14,19,0.2475
17,13,0.3478
17,14,0.3086
17,15,0.2795
17,16,0.2499
17,17,0.2143
17,18,0.1968
17,19,0.1907
18,13,0.2883
18,14,0.2578
18,15,0.2264
18,16,0.1981
18,17,0.1711
18,18,0.1752
18,19,0.176
19,13,0.3352
19,14,0.3062
19,15,0.2784
19,16,0.2536
19,17,0.2204
19,18,0.2005
19,19,0.1939
20,13,0.3435
20,14,0.3105
20,15,0.2736
20,16,0.2443
20,17,0.2164
20,18,0.2008
20,19,0.1949
21,13,0.3299
21,14,0.2951
21,15,0.2706
21,16,0.257
21,17,0.2338
21,18,0.2145
21,19,0.2152
24,13,0.3967
24,14,0.4043
24,15,0.3751
24,16,0.3429
24,17,0.3027
24,18,0.2777
24,19,0.2764
25,13,0.4947
25,14,0.4581
25,15,0.4232
25,16,0.3725
25,17,0.3295
25,18,0.3025
25,19,0.2951
26,13,0.5098
26,14,0.4711
26,15,0.4645
26,16,0.4985
26,17,0.4681
26,18,0.4227
26,19,0.414
27,13,0.4687
27,14,0.4357
27,15,0.4479
27,16,0.518
27,17,0.4918
27,18,0.4649
27,19,0.4571
28,13,0.4693
28,14,0.435
28,15,0.4458
28,16,0.5171
28,17,0.4987
28,18,0.4619
28,19,0.4628
