Dia,Hora,Fator Emissão
18,13,0.2473
18,14,0.2807
18,15,0.2891
18,16,0.2908
18,17,0.2868
18,18,0.285
18,19,0.2784
19,13,0.3546
19,14,0.4656
19,15,0.4768
19,16,0.4659
19,17,0.4492
19,18,0.4394
19,19,0.4363
20,13,0.2837
20,14,0.3506
20,15,0.4129
20,16,0.4085
20,17,0.3913
20,18,0.3891
20,19,0.3836
21,13,0.3055
21,14,0.3846
21,15,0.4033
21,16,0.3864
21,17,0.3731
21,18,0.3656
21,19,0.3612
22,13,0.24
22,14,0.2257
22,15,0.2012
22,16,0.1794
22,17,0.1744
22,18,0.1782
22,19,0.1755
25,13,0.3367
25,14,0.3199
25,15,0.2983
25,16,0.284
25,17,0.2627
25,18,0.2472
25,19,0.2349
26,13,0.2935
26,14,0.2805
26,15,0.2711
26,16,0.2573
26,17,0.2364
26,18,0.2263
26,19,0.2144
27,13,0.3303
27,14,0.3087
27,15,0.2903
27,16,0.2746
27,17,0.2584
27,18,0.2493
27,19,0.2398
28,13,0.3498
28,14,0.3303
28,15,0.3071
28,16,0.2905
28,17,0.272
28,18,0.2586
28,19,0.253
