ID,Modelo,CPU,TDP (CPU),GPU,RAM(GPU),TDP (GPU),RAM,HD,SO,Monitor,Consumo de energia (Monitor)
1,HP Elite Desk 800 G1SFF,Intel Core i5-4570 3.20 - 3.60 GHz,84 W,Intel HD Graphics 4600,8 GB,45 W,8 GB,400 GB,Windows 10,HP Elite Display E231 - 1920x1080 60 Hz,33 W 
2,HP Elite Desk 800 G1SFF,Intel Core i5-4570 3.20 - 3.60 GHz,84 W,Intel HD Graphics 4600,8 GB,45 W,8 GB,400 GB,Windows 10,HP Elite Display E231 - 1920x1080 60 Hz,33 W 
3,HP Elite Desk 800 G1SFF,Intel Core i5-4570 3.20 - 3.60 GHz,84 W,Intel HD Graphics 4600,8 GB,45 W,8 GB,400 GB,Windows 10,HP Elite Display E231 - 1920x1080 60 Hz,33 W 
4,HP Elite Desk 800 G1SFF,Intel Core i5-4570 3.20 - 3.60 GHz,84 W,Intel HD Graphics 4600,8 GB,45 W,8 GB,400 GB,Windows 10,HP Elite Display E231 - 1920x1080 60 Hz,33 W 
5,HP Elite Desk 800 G1SFF,Intel Core i5-4570 3.20 - 3.60 GHz,84 W,Intel HD Graphics 4600,8 GB,45 W,8 GB,400 GB,Windows 10,HP Elite Display E231 - 1920x1080 60 Hz,33 W 
6,HP Elite Desk 800 G1SFF,Intel Core i5-4570 3.20 - 3.60 GHz,84 W,Intel HD Graphics 4600,8 GB,45 W,8 GB,400 GB,Windows 10,HP Elite Display E231 - 1920x1080 60 Hz,33 W 
7,HP Elite Desk 800 G1SFF,Intel Core i5-4570 3.20 - 3.60 GHz,84 W,Intel HD Graphics 4600,8 GB,45 W,8 GB,400 GB,Windows 10,HP Elite Display E231 - 1920x1080 60 Hz,33 W 
8,HP Elite Desk 800 G1SFF,Intel Core i5-4570 3.20 - 3.60 GHz,84 W,Intel HD Graphics 4600,8 GB,45 W,8 GB,400 GB,Windows 10,HP Elite Display E231 - 1920x1080 60 Hz,33 W 
9,HP Elite Desk 800 G1SFF,Intel Core i5-4570 3.20 - 3.60 GHz,84 W,Intel HD Graphics 4600,8 GB,45 W,8 GB,400 GB,Windows 10,HP Elite Display E231 - 1920x1080 60 Hz,33 W 
10,HP Elite Desk 800 G1SFF,Intel Core i5-4570 3.20 - 3.60 GHz,84 W,Intel HD Graphics 4600,8 GB,45 W,8 GB,400 GB,Windows 10,HP Elite Display E231 - 1920x1080 60 Hz,33 W 
11,HP Elite Desk 800 G1SFF,Intel Core i5-4570 3.20 - 3.60 GHz,84 W,Intel HD Graphics 4600,8 GB,45 W,8 GB,400 GB,Windows 10,HP Elite Display E231 - 1920x1080 60 Hz,33 W 
12,HP Elite Desk 800 G1SFF,Intel Core i5-4570 3.20 - 3.60 GHz,84 W,Intel HD Graphics 4600,8 GB,45 W,8 GB,400 GB,Windows 10,HP Elite Display E231 - 1920x1080 60 Hz,33 W 
13,HP Elite Desk 800 G1SFF,Intel Core i5-4570 3.20 - 3.60 GHz,84 W,Intel HD Graphics 4600,8 GB,45 W,8 GB,400 GB,Windows 10,HP Elite Display E231 - 1920x1080 60 Hz,33 W 
14,HP Elite Desk 800 G1SFF,Intel Core i5-4570 3.20 - 3.60 GHz,84 W,Intel HD Graphics 4600,8 GB,45 W,8 GB,400 GB,Windows 10,HP Elite Display E231 - 1920x1080 60 Hz,33 W 
15,HP Elite Desk 800 G1SFF,Intel Core i5-4570 3.20 - 3.60 GHz,84 W,Intel HD Graphics 4600,8 GB,45 W,8 GB,400 GB,Windows 10,HP Elite Display E231 - 1920x1080 60 Hz,33 W 
16,HP Elite Desk 800 G1SFF,Intel Core i5-4570 3.20 - 3.60 GHz,84 W,Intel HD Graphics 4600,8 GB,45 W,8 GB,400 GB,Windows 10,HP Elite Display E231 - 1920x1080 60 Hz,33 W 
17,HP Elite Desk 800 G1SFF,Intel Core i5-4570 3.20 - 3.60 GHz,84 W,Intel HD Graphics 4600,8 GB,45 W,8 GB,400 GB,Windows 10,HP Elite Display E231 - 1920x1080 60 Hz,33 W 
18,HP Elite Desk 800 G1SFF,Intel Core i5-4570 3.20 - 3.60 GHz,84 W,Intel HD Graphics 4600,8 GB,45 W,8 GB,400 GB,Windows 10,HP Elite Display E231 - 1920x1080 60 Hz,33 W 
19,HP Elite Desk 800 G1SFF,Intel Core i5-4570 3.20 - 3.60 GHz,84 W,Intel HD Graphics 4600,8 GB,45 W,8 GB,400 GB,Windows 10,HP Elite Display E231 - 1920x1080 60 Hz,33 W 
20,HP Elite Desk 800 G1SFF,Intel Core i5-4570 3.20 - 3.60 GHz,84 W,Intel HD Graphics 4600,8 GB,45 W,8 GB,400 GB,Windows 10,HP Elite Display E231 - 1920x1080 60 Hz,33 W 
21,HP Elite Desk 800 G1SFF,Intel Core i5-4570 3.20 - 3.60 GHz,84 W,Intel HD Graphics 4600,8 GB,45 W,8 GB,400 GB,Windows 10,HP Elite Display E231 - 1920x1080 60 Hz,33 W 
22,HP Elite Desk 800 G1SFF,Intel Core i5-4570 3.20 - 3.60 GHz,84 W,Intel HD Graphics 4600,8 GB,45 W,8 GB,400 GB,Windows 10,HP Elite Display E231 - 1920x1080 60 Hz,33 W 
23,HP Elite Desk 800 G1SFF,Intel Core i5-4570 3.20 - 3.60 GHz,84 W,Intel HD Graphics 4600,8 GB,45 W,8 GB,400 GB,Windows 10,HP Elite Display E231 - 1920x1080 60 Hz,33 W 
